"","country","date","cases","deaths","recovered"
"1","Kenya",2020-01-22,0,0,0
"2","Kenya",2020-01-23,0,0,0
"3","Kenya",2020-01-24,0,0,0
"4","Kenya",2020-01-25,0,0,0
"5","Kenya",2020-01-26,0,0,0
"6","Kenya",2020-01-27,0,0,0
"7","Kenya",2020-01-28,0,0,0
"8","Kenya",2020-01-29,0,0,0
"9","Kenya",2020-01-30,0,0,0
"10","Kenya",2020-01-31,0,0,0
"11","Kenya",2020-02-01,0,0,0
"12","Kenya",2020-02-02,0,0,0
"13","Kenya",2020-02-03,0,0,0
"14","Kenya",2020-02-04,0,0,0
"15","Kenya",2020-02-05,0,0,0
"16","Kenya",2020-02-06,0,0,0
"17","Kenya",2020-02-07,0,0,0
"18","Kenya",2020-02-08,0,0,0
"19","Kenya",2020-02-09,0,0,0
"20","Kenya",2020-02-10,0,0,0
"21","Kenya",2020-02-11,0,0,0
"22","Kenya",2020-02-12,0,0,0
"23","Kenya",2020-02-13,0,0,0
"24","Kenya",2020-02-14,0,0,0
"25","Kenya",2020-02-15,0,0,0
"26","Kenya",2020-02-16,0,0,0
"27","Kenya",2020-02-17,0,0,0
"28","Kenya",2020-02-18,0,0,0
"29","Kenya",2020-02-19,0,0,0
"30","Kenya",2020-02-20,0,0,0
"31","Kenya",2020-02-21,0,0,0
"32","Kenya",2020-02-22,0,0,0
"33","Kenya",2020-02-23,0,0,0
"34","Kenya",2020-02-24,0,0,0
"35","Kenya",2020-02-25,0,0,0
"36","Kenya",2020-02-26,0,0,0
"37","Kenya",2020-02-27,0,0,0
"38","Kenya",2020-02-28,0,0,0
"39","Kenya",2020-02-29,0,0,0
"40","Kenya",2020-03-01,0,0,0
"41","Kenya",2020-03-02,0,0,0
"42","Kenya",2020-03-03,0,0,0
"43","Kenya",2020-03-04,0,0,0
"44","Kenya",2020-03-05,0,0,0
"45","Kenya",2020-03-06,0,0,0
"46","Kenya",2020-03-07,0,0,0
"47","Kenya",2020-03-08,0,0,0
"48","Kenya",2020-03-09,0,0,0
"49","Kenya",2020-03-10,0,0,0
"50","Kenya",2020-03-11,0,0,0
"51","Kenya",2020-03-12,0,0,0
"52","Kenya",2020-03-13,1,0,0
"53","Kenya",2020-03-14,1,0,0
"54","Kenya",2020-03-15,3,0,0
"55","Kenya",2020-03-16,3,0,0
"56","Kenya",2020-03-17,3,0,0
"57","Kenya",2020-03-18,3,0,0
"58","Kenya",2020-03-19,7,0,0
"59","Kenya",2020-03-20,7,0,0
"60","Kenya",2020-03-21,7,0,0
"61","Kenya",2020-03-22,15,0,0
"62","Kenya",2020-03-23,16,0,0
"63","Kenya",2020-03-24,25,0,0
"64","Kenya",2020-03-25,28,0,1
"65","Kenya",2020-03-26,31,1,1
"66","Kenya",2020-03-27,31,1,1
"67","Kenya",2020-03-28,38,1,1
"68","Kenya",2020-03-29,42,1,1
"69","Kenya",2020-03-30,50,1,1
